trial,workers,architecture,dataset_size,fault_prob,duration_sec
1,4,"784,16,16,10",60000,0.1,129
2,4,"784,16,16,10",60000,0.1,132
3,4,"784,16,16,10",60000,0.1,139
4,4,"784,16,16,10",60000,0.1,136
5,4,"784,16,16,10",60000,0.1,142
6,4,"784,16,16,10",60000,0.1,133
7,4,"784,16,16,10",60000,0.1,129
8,4,"784,16,16,10",60000,0.1,132
9,4,"784,16,16,10",60000,0.1,131
10,4,"784,16,16,10",60000,0.1,134
11,4,"784,16,16,10",60000,0.1,133
12,4,"784,16,16,10",60000,0.1,130
13,4,"784,16,16,10",60000,0.1,129
14,4,"784,16,16,10",60000,0.1,130
15,4,"784,16,16,10",60000,0.1,130
