system_overhead,total_avg_computation_time_per_worker

73.053994,120.879948
80.895170,64.037361
86.227037,33.207740
80.832355,35.077578
67.657900,37.975385
67.736186,39.246264
60.020425,138.169760
58.610350,70.146492
57.470017,37.309352
61.382895,26.975003
56.637159,32.056768
58.602291,31.224316
57.864037,32.333463
58.904565,32.966555
9.943919,7.014573
28.817986,21.086396
57.624547,41.605121
57.397427,42.037770
57.768558,53.255332
58.287557,76.078621
76.417235,234.304537
65.845271,1356.387633
57.687295,42.992677
57.584705,54.161991
57.744341,66.671131
58.497061,78.963366
57.520362,42.532125
57.535079,42.214804
57.584259,42.250082
57.549882,42.057612
58.310046,39.809165
58.165641,38.686226
57.750715,38.189404
57.699599,41.921049
57.805919,42.929321
57.705789,43.332606
57.656997,42.926875
57.639770,43.003783
57.622103,42.879653
58.681902,42.602239
57.554716,43.246944
57.650717,43.272395
57.767599,43.237773
57.782015,43.119610
57.584498,43.159588
57.817068,43.045100
57.603625,43.060193
57.552605,43.564589
57.573736,43.443739
57.651956,43.229316
58.079795,44.416261
58.965725,43.346226
57.785121,43.354892
58.907199,42.932675
57.770009,43.240722
58.739266,43.241562
57.641390,42.929751
59.634424,42.584000
57.783789,43.154902
57.746895,42.964746
58.767622,43.114842
59.958337,42.819529
57.833942,42.924600
57.657518,43.458996
59.746745,42.835947
57.553218,43.106668
59.766865,42.703855
57.801618,42.983894
58.789569,43.066697
57.681657,43.685446
58.794453,42.846088
61.061348,42.511412
61.838954,42.834389
58.633187,42.871204
59.893342,42.975228
58.800528,43.125516
58.669346,43.016614
59.998271,42.813094
59.754336,42.520896
61.899779,42.657106
58.966795,43.371475
60.946156,42.236322
60.668304,42.574529
60.950308,42.950259
58.714395,42.802133
59.767812,42.921402
57.802204,43.552496
59.093020,42.874551
58.661336,43.607150
59.911619,42.605478
59.352401,40.269376
