system_overhead,avg_compute_time_per_worker
0.457012,11.531819
0.560680,31.323188
0.742100,74.437026
0.399583,11.484326
0.559558,31.372594
0.744298,60.978784
0.420037,12.153407
0.537292,34.495588
0.762838,68.174948
0.426879,14.509419
0.545468,39.977550
0.772464,78.410812
0.575968,29.945513
1.640372,79.574416
1.891812,156.811607
1.491980,31.251476
1.643281,83.337079
0.950727,157.112774
1.478183,33.894470
1.628019,90.130076
1.858110,172.027220
1.492867,39.251126
1.639140,106.562394
0.957538,202.034412
0.768116,32.735733
0.917842,78.859550
2.107432,148.868305
1.690248,33.846310
1.848805,81.561713
2.128408,155.141745
0.772681,35.192201
0.918472,85.974584
1.157009,160.578631
1.700948,38.565326
0.932366,97.742618
1.166524,179.368048
2.092693,40.509029
2.386102,84.831808
2.670484,155.902786
2.025764,35.025458
2.239489,87.233695
2.616503,160.190649
2.165081,41.842709
2.377406,90.575119
2.559946,168.968315
3.714776,41.456277
2.320733,98.689688
2.496492,175.310484
3.096958,151.604530
7.862121,184.433030
2.010397,145.973323
2.015950,149.185001
1.269263,155.248559
2.192409,161.307209
2.184583,131.383890
2.074051,145.371138
2.135739,152.605924
2.119591,149.467984
2.451710,164.753818
2.119435,164.299148
2.185545,154.203854
1.250397,160.610897
2.190237,155.639273
2.188317,156.522870
2.188898,152.912958
2.078937,147.430911
1.303777,153.853882
1.181590,155.727355
1.231223,154.870043
2.098787,151.954226
2.173116,153.337799
1.301772,153.570913
1.233054,150.236954
1.197282,151.826859
2.176101,150.566157
2.081443,147.445087
2.057938,146.597619
2.245217,150.630536
1.362833,152.659087
2.099574,146.440321
1.485126,148.900943
1.215299,149.348992
2.115423,151.062146
1.972537,149.626114
2.101315,144.703849
1.673173,144.323130
1.966554,148.961520
2.123213,150.068849
4.728541,84.109343
